location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Asahikawa,43.760983,142.3414,117.0,0,GMT,GMT
1,Furano,43.33919,142.41017,172.0,0,GMT,GMT
2,Nayoro,44.32337,142.4312,97.0,0,GMT,GMT
3,Shimukappu,43.128292,142.71237,801.0,0,GMT,GMT

location_id,time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h)
0,2021-05-23,18.6,11.3,2.20,2.20,0.00,7.0,12.2,27.0
0,2021-05-24,18.1,11.1,1.30,1.30,0.00,8.0,13.0,32.8
0,2021-05-25,16.4,6.6,9.10,9.10,0.00,8.0,18.3,48.6
0,2021-05-26,16.6,6.6,7.80,7.80,0.00,4.0,24.7,55.1
0,2021-05-27,17.2,10.6,10.20,10.20,0.00,15.0,10.1,24.8
0,2021-05-28,16.7,9.8,2.50,2.50,0.00,9.0,17.2,34.9
0,2021-05-29,14.9,10.3,7.00,7.00,0.00,12.0,14.0,29.9
0,2021-05-30,14.3,4.7,6.40,6.40,0.00,15.0,13.2,33.8
0,2021-05-31,10.9,2.4,0.00,0.00,0.00,0.0,12.3,29.5
0,2021-06-01,17.3,6.2,0.00,0.00,0.00,0.0,9.6,24.1
0,2021-06-02,20.2,11.5,0.00,0.00,0.00,0.0,8.1,27.4
0,2021-06-03,24.6,16.2,0.10,0.10,0.00,1.0,24.3,51.5
0,2021-06-04,18.2,9.2,20.60,20.60,0.00,11.0,37.6,78.8
0,2021-06-05,23.1,12.8,0.70,0.70,0.00,2.0,18.8,63.0
0,2021-06-06,24.2,11.7,5.10,5.10,0.00,6.0,19.5,50.8
0,2021-06-07,20.6,11.0,0.30,0.30,0.00,3.0,15.0,34.9
0,2021-06-08,19.1,8.3,2.60,2.60,0.00,9.0,20.5,48.2
0,2021-06-09,22.9,12.0,0.00,0.00,0.00,0.0,10.8,24.8
0,2021-06-10,27.5,12.8,0.00,0.00,0.00,0.0,10.0,25.2
0,2021-06-11,29.5,16.3,0.00,0.00,0.00,0.0,13.7,30.6
0,2021-06-12,22.2,15.6,2.10,2.10,0.00,9.0,31.7,69.1
0,2021-06-13,24.0,12.2,7.30,7.30,0.00,10.0,16.0,40.0
0,2021-06-14,24.3,12.1,2.20,2.20,0.00,10.0,13.0,30.6
0,2021-06-15,22.0,11.4,1.80,1.80,0.00,11.0,5.6,22.0
0,2021-06-16,25.8,13.0,0.00,0.00,0.00,0.0,16.2,33.1
0,2021-06-17,26.7,14.9,0.00,0.00,0.00,0.0,16.9,35.6
0,2021-06-18,25.5,14.6,0.00,0.00,0.00,0.0,17.7,35.6
0,2021-06-19,22.7,10.8,3.60,3.60,0.00,5.0,15.6,35.3
0,2021-06-20,18.8,11.7,11.60,11.60,0.00,13.0,6.3,25.9
0,2021-06-21,21.1,13.0,0.90,0.90,0.00,6.0,7.2,25.9
0,2021-06-22,24.1,12.7,0.10,0.10,0.00,1.0,8.2,23.8
0,2021-06-23,26.0,13.6,0.00,0.00,0.00,0.0,10.8,24.8
0,2021-06-24,22.1,13.8,3.00,3.00,0.00,5.0,10.7,28.1
0,2021-06-25,23.0,13.0,2.70,2.70,0.00,7.0,14.5,33.1
0,2021-06-26,26.8,14.2,0.00,0.00,0.00,0.0,13.5,31.0
0,2021-06-27,27.8,16.1,0.10,0.10,0.00,1.0,7.3,20.2
0,2021-06-28,27.9,15.8,0.00,0.00,0.00,0.0,7.8,20.5
0,2021-06-29,27.1,17.2,0.00,0.00,0.00,0.0,17.7,38.2
0,2021-06-30,25.6,15.0,12.20,12.20,0.00,7.0,8.3,24.8
0,2021-07-01,25.1,16.4,0.00,0.00,0.00,0.0,14.8,33.8
0,2021-07-02,25.1,16.5,6.90,6.90,0.00,6.0,9.4,24.5
0,2021-07-03,25.5,16.4,0.30,0.30,0.00,2.0,6.8,18.4
0,2021-07-04,27.0,15.7,1.90,1.90,0.00,10.0,11.2,26.3
0,2021-07-05,20.9,16.1,15.10,15.10,0.00,11.0,18.0,49.3
0,2021-07-06,22.6,18.0,2.30,2.30,0.00,14.0,14.2,32.0
0,2021-07-07,22.4,16.9,15.10,15.10,0.00,14.0,6.1,15.8
0,2021-07-08,24.1,15.3,4.30,4.30,0.00,6.0,10.3,22.0
0,2021-07-09,25.8,16.1,1.00,1.00,0.00,4.0,12.4,28.4
0,2021-07-10,25.6,17.8,0.50,0.50,0.00,4.0,10.2,23.8
0,2021-07-11,24.8,18.2,1.00,1.00,0.00,7.0,10.1,23.0
0,2021-07-12,26.5,18.6,3.00,3.00,0.00,15.0,10.9,23.4
0,2021-07-13,27.6,19.3,2.30,2.30,0.00,9.0,10.6,22.3
0,2021-07-14,28.9,16.6,0.30,0.30,0.00,3.0,12.5,26.6
0,2021-07-15,29.3,17.4,0.00,0.00,0.00,0.0,10.7,25.2
0,2021-07-16,30.3,18.6,0.00,0.00,0.00,0.0,11.0,23.8
0,2021-07-17,30.0,18.7,0.00,0.00,0.00,0.0,15.5,34.6
0,2021-07-18,31.3,20.9,0.20,0.20,0.00,2.0,13.8,34.9
0,2021-07-19,32.3,20.1,0.00,0.00,0.00,0.0,10.9,23.4
0,2021-07-20,30.6,19.5,0.00,0.00,0.00,0.0,11.5,26.3
0,2021-07-21,31.8,20.9,0.00,0.00,0.00,0.0,13.6,28.1
0,2021-07-22,31.3,18.1,0.00,0.00,0.00,0.0,15.1,31.3
0,2021-07-23,30.9,20.2,0.00,0.00,0.00,0.0,12.0,28.4
0,2021-07-24,32.2,20.8,0.00,0.00,0.00,0.0,14.8,30.6
0,2021-07-25,32.1,21.6,1.70,1.70,0.00,7.0,9.1,20.9
0,2021-07-26,32.9,17.9,0.00,0.00,0.00,0.0,12.8,25.9
