Downloaded at: 2026/09/16 14:04:55

,Tano,Tano,Tano,Tano,Tano,Tano,Aoshima,Aoshima,Aoshima,Aoshima,Aoshima,Aoshima,Tomishiro,Tomishiro,Tomishiro,Tomishiro,Tomishiro,Tomishiro,Aburatsu,Aburatsu,Aburatsu,Aburatsu,Aburatsu,Aburatsu,Kushima,Kushima,Kushima,Kushima,Kushima,Kushima
Date,Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.
2022/2/26,-1.5,8,1,16.6,8,1,,0,1,,0,1,-3.3,8,1,15.8,8,1,0.5,8,1,16.5,8,1,-2.3,8,1,15.1,8,1
2022/2/27,5.8,8,1,19.3,8,1,,0,1,,0,1,5.3,8,1,19.2,8,1,8.5,8,1,18.3,8,1,5.3,8,1,18.8,8,1
2022/2/28,2.0,8,1,16.5,8,1,,0,1,,0,1,0.8,8,1,18.7,8,1,6.0,8,1,16.9,8,1,2.3,8,1,18.0,8,1
2022/3/1,5.4,8,1,17.7,8,1,,0,1,,0,1,5.4,8,1,18.0,8,1,8.1,8,1,19.8,8,1,6.4,8,1,18.9,8,1
2022/3/2,6.2,8,1,16.0,8,1,,0,1,,0,1,5.9,8,1,15.7,8,1,8.3,8,1,18.2,8,1,7.9,8,1,17.6,8,1
2022/3/3,4.3,8,1,16.1,8,1,,0,1,,0,1,1.4,8,1,16.4,8,1,4.1,8,1,16.0,8,1,3.8,8,1,17.9,8,1
2022/3/4,2.1,8,1,14.2,8,1,,0,1,,0,1,-1.0,8,1,15.8,8,1,4.7,8,1,15.4,8,1,0.2,8,1,16.3,8,1
2022/3/5,2.5,8,1,19.4,8,1,,0,1,,0,1,1.7,8,1,19.6,8,1,5.3,8,1,21.1,8,1,3.4,8,1,20.9,8,1
2022/3/6,4.0,8,1,15.8,8,1,,0,1,,0,1,2.9,8,1,16.3,8,1,6.7,8,1,15.4,8,1,5.4,8,1,17.3,8,1
2022/3/7,2.6,8,1,9.7,8,1,,0,1,,0,1,2.9,8,1,10.5,8,1,7.0,8,1,10.5,8,1,4.7,8,1,10.8,8,1
2022/3/8,0.8,8,1,14.7,8,1,,0,1,,0,1,-0.4,8,1,17.6,8,1,4.0,8,1,15.0,8,1,1.1,8,1,16.0,8,1
2022/3/9,2.8,8,1,17.6,8,1,,0,1,,0,1,0.7,8,1,18.9,8,1,4.4,8,1,17.2,8,1,1.8,8,1,19.5,8,1
2022/3/10,3.8,8,1,18.8,8,1,,0,1,,0,1,2.3,8,1,20.3,8,1,6.0,8,1,17.8,8,1,3.3,8,1,18.3,8,1
2022/3/11,6.3,8,1,20.8,8,1,,0,1,,0,1,6.2,8,1,20.1,8,1,9.1,8,1,19.1,8,1,7.6,8,1,20.0,8,1
2022/3/12,9.7,8,1,23.0,8,1,,0,1,,0,1,7.2,8,1,24.0,8,1,9.6,8,1,21.2,8,1,7.7,8,1,21.6,8,1
2022/3/13,8.3,8,1,23.4,8,1,,0,1,,0,1,8.6,8,1,23.1,8,1,10.9,8,1,21.6,8,1,9.4,8,1,22.4,8,1
2022/3/14,14.0,8,1,26.6,8,1,,0,1,,0,1,15.7,8,1,26.4,8,1,16.5,8,1,25.2,8,1,15.7,8,1,23.9,8,1
2022/3/15,11.4,8,1,26.3,8,1,,0,1,,0,1,11.9,8,1,27.1,8,1,14.9,8,1,25.5,8,1,12.9,8,1,26.6,8,1
2022/3/16,7.8,8,1,27.6,8,1,,0,1,,0,1,7.5,8,1,27.1,8,1,9.7,8,1,21.9,8,1,9.9,8,1,24.8,8,1
2022/3/17,10.0,8,1,21.0,8,1,,0,1,,0,1,10.1,8,1,22.4,8,1,12.4,8,1,20.6,8,1,10.8,8,1,23.0,8,1
2022/3/18,12.5,8,1,21.9,8,1,,0,1,,0,1,11.1,8,1,21.1,8,1,14.2,8,1,22.0,8,1,12.2,8,1,22.7,8,1
2022/3/19,8.1,8,1,17.3,8,1,,0,1,,0,1,8.0,8,1,18.0,8,1,10.8,8,1,19.0,8,1,10.1,8,1,18.9,8,1
2022/3/20,7.3,8,1,17.5,8,1,,0,1,,0,1,6.1,8,1,18.2,8,1,9.1,8,1,17.8,8,1,7.5,8,1,18.5,8,1
2022/3/21,7.7,8,1,12.9,8,1,,0,1,,0,1,8.0,8,1,15.0,8,1,9.8,8,1,14.7,8,1,9.6,8,1,15.2,8,1
2022/3/22,7.3,8,1,13.0,8,1,,0,1,,0,1,7.8,8,1,15.6,8,1,9.7,8,1,14.6,8,1,9.1,8,1,15.0,8,1
2022/3/23,8.0,8,1,10.9,8,1,,0,1,,0,1,5.7,8,1,11.0,8,1,9.0,8,1,13.8,8,1,8.1,8,1,13.2,8,1
2022/3/24,4.4,8,1,16.8,8,1,,0,1,,0,1,4.2,8,1,19.4,8,1,6.4,8,1,17.8,8,1,4.3,8,1,17.9,8,1
2022/3/25,5.1,8,1,17.5,8,1,,0,1,,0,1,4.2,8,1,20.9,8,1,8.0,8,1,19.5,8,1,6.6,8,1,20.2,8,1
2022/3/26,14.4,8,1,22.9,8,1,,0,1,,0,1,13.9,8,1,21.9,8,1,15.8,8,1,22.4,8,1,15.7,8,1,21.7,8,1
2022/3/27,12.7,8,1,20.3,8,1,,0,1,,0,1,12.6,8,1,24.1,8,1,13.8,8,1,20.5,8,1,13.6,8,1,21.1,8,1
2022/3/28,11.1,8,1,17.3,8,1,,0,1,,0,1,11.6,8,1,18.0,8,1,12.4,8,1,17.3,8,1,11.9,8,1,18.0,8,1
2022/3/29,10.3,8,1,13.1,8,1,,0,1,,0,1,10.4,8,1,13.8,8,1,11.5,8,1,14.8,8,1,11.4,8,1,14.7,8,1
2022/3/30,12.0,8,1,18.1,8,1,,0,1,,0,1,11.0,8,1,20.7,8,1,12.6,8,1,19.3,8,1,12.5,8,1,20.7,8,1
2022/3/31,11.9,8,1,25.3,8,1,,0,1,,0,1,12.4,8,1,25.2,8,1,14.2,8,1,24.1,8,1,14.1,8,1,23.1,8,1
2022/4/1,6.7,8,1,15.7,8,1,,0,1,,0,1,9.9,8,1,19.0,8,1,11.4,8,1,16.9,8,1,11.8,8,1,18.8,8,1
2022/4/2,4.7,8,1,13.1,8,1,,0,1,,0,1,6.2,8,1,15.5,8,1,10.2,8,1,14.4,8,1,9.6,8,1,15.4,8,1
2022/4/3,4.8,8,1,15.7,8,1,,0,1,,0,1,5.1,8,1,18.4,8,1,9.2,8,1,17.0,8,1,7.2,8,1,17.8,8,1
2022/4/4,5.9,8,1,18.9,8,1,,0,1,,0,1,3.6,8,1,22.1,8,1,7.7,8,1,19.5,8,1,4.6,8,1,21.2,8,1
2022/4/5,6.0,8,1,19.9,8,1,,0,1,,0,1,4.4,8,1,23.5,8,1,7.9,8,1,19.8,8,1,5.0,8,1,20.6,8,1
2022/4/6,9.8,8,1,21.1,8,1,,0,1,,0,1,10.1,8,1,24.5,8,1,11.6,8,1,21.2,8,1,10.3,8,1,21.9,8,1
